,productAsin,country,date,isVerified,ratingScore,reviewTitle,variantAsin,Color,Size
2757,B09G9D8KRQ,India,26-05-2024,True,4,Only problem is the battery,B09G9D8KRQ,Starlight,128 GB
2758,B09G9D8KRQ,India,10-11-2021,True,1,7 years backward phone,B09G93H3BR,Blue,256 GB
2759,B09G9D8KRQ,India,07-08-2022,True,1,"Replacement asked for, ringer not working",B09G93H3BR,Blue,256 GB
2760,B09G9D8KRQ,India,13-08-2022,True,1,dust particles in back camera,B09G93H3BR,Blue,256 GB
2761,B09G9D8KRQ,India,08-05-2022,True,1,Worst product ever I got from Amazon,B09G93H3BR,Blue,256 GB
2762,B09G9D8KRQ,India,04-09-2022,True,1,Worst,B09G93H3BR,Blue,256 GB
2763,B09G9D8KRQ,India,21-08-2022,True,1,I want my money back,B09G93H3BR,Blue,256 GB
2764,B09G9D8KRQ,India,29-08-2022,False,3,Front cam not good,B09G93H3BR,Blue,256 GB
2765,B09G9D8KRQ,India,28-10-2022,False,1,everything,B09G93H3BR,Blue,256 GB
2766,B09G9D8KRQ,India,05-05-2022,False,1,Worst iphone. Waste of money,B09G93H3BR,Blue,256 GB
2767,B09G9D8KRQ,India,08-05-2022,False,1,Worst phone for isheeps.,B09G93H3BR,Blue,256 GB
2768,B09G9D8KRQ,India,18-11-2023,True,5,The touch quality and looks are beautiful.,B09G93H3BR,Blue,256 GB
2769,B09G9D8KRQ,India,21-08-2022,True,5,Over all best performance in day to day life,B09G93H3BR,Blue,256 GB
2770,B09G9D8KRQ,India,30-09-2022,True,5,Great phone,B09G93H3BR,Blue,256 GB
2771,B09G9D8KRQ,India,16-05-2022,True,5,Good iPhone,B09G93H3BR,Blue,256 GB
2772,B09G9D8KRQ,India,01-09-2022,True,5,Great product,B09G93H3BR,Blue,256 GB
2773,B09G9D8KRQ,India,31-08-2022,True,5,Life is better with it,B09G93H3BR,Blue,256 GB
2774,B09G9D8KRQ,India,13-04-2022,True,5,New to Apple family,B09G93H3BR,Blue,256 GB
2775,B09G9D8KRQ,India,12-02-2022,True,5,Is very smooth and fast.,B09G93H3BR,Blue,256 GB
2776,B09G9D8KRQ,India,12-07-2022,True,5,Smooth as butter,B09G93H3BR,Blue,256 GB
